name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;186;0;386;3131;1052;3131;1075;0
header;174;131;174;165;1903;165;1903;131
A;596;255;596;267;604;267;604;255
B;571;281;571;297;593;297;593;281
A;432;325;432;351;447;351;447;325
A;1006;387;1006;394;1013;394;1013;387
A;269;653;269;664;276;664;276;653
A;824;727;824;733;831;733;831;727
A;309;830;309;840;316;840;316;830
B;782;853;782;869;805;869;805;853
A;439;1170;439;1177;445;1177;445;1170
A;894;1377;894;1378;896;1378;896;1377
A;846;1478;846;1485;853;1485;853;1478
A;525;1874;525;1880;532;1880;532;1874
A;703;2576;703;2583;710;2583;710;2576
C;760;2877;760;2904;789;2904;789;2877
D;1004;2878;1004;2892;1026;2892;1026;2878
A;596;2993;596;2993;596;2993;596;2993
