name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;264;0;440;3141;1149;3141;1125;0
header;275;145;275;190;1911;190;1911;145
A;622;274;622;285;628;285;628;274
B;439;773;439;791;453;791;453;773
A;916;850;916;865;925;865;925;850
B;631;1187;631;1205;645;1205;645;1187
B;556;1235;556;1254;571;1254;571;1235
A;998;1359;998;1373;1007;1373;1007;1359
D;989;1458;989;1477;1002;1477;1002;1458
B;529;1511;529;1530;544;1530;544;1511
B;858;2292;858;2311;873;2311;873;2292
B;874;2477;874;2497;888;2497;888;2477
